institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Duquesne University,1,0,169,2,3,2,5,84,62,3,75,4,5,3,5248,77,81385,71,272613000,661012000,1727.99,92612,84,23,100
East Tennessee State University,1,1,301,1,3,2,4,86,61,2,72,4,6,2,9047,53,9903,72,452901464,119127440,2540.33,77109,76,43,94
Eastern Michigan University,1,0,373,1,3,2,4,80,59,6,54,10,17,4,8563,46,9936,24,305743007,109425810,1597.33,94431,69,47,94
Embry-Riddle Aeronautical University-Daytona Beach,1,0,,2,3,2,5,65,29,9,42,11,4,4,7392,67,26004,73,282528000,222643000,1834.34,98806,88,20,98
Florida Agricultural and Mechanical University,1,1,169,1,3,1,6,21,66,0,5,5,87,0,7313,53,11290,71,346665996,101700975,1697,83302,89,56,93
Florida Institute of Technology,1,1,232,2,3,2,3,58,33,21,50,15,5,3,3217,64,16405,65,162619731,105961895,1070.67,102007,80,25,99
Fordham University,1,1,97,2,3,2,5,59,60,7,46,19,6,14,10093,82,62713,68,627670000,1024789000,2743.32,146125,89,22,95
Georgia Southern University,1,0,343,1,4,2,4,88,57,1,57,8,25,2,19246,55,5024,23,443531751,119360129,2777.99,84006,78,41,91
Hampton University,1,1,273,2,3,2,6,62,67,1,0,0,97,0,3601,57,62201,79,184799533,241215124,798.34,77381,85,36,82
Hofstra University,1,0,183,2,3,2,5,68,56,4,47,17,9,14,6166,69,91507,76,379694664,925318519,2017.66,134557,84,29,99
Idaho State University,1,1,395,1,3,2,4,,59,2,67,14,1,1,6419,39,10479,68,290756264,100217964,1806.98,80213,72,40,95
Illinois Institute of Technology,1,0,117,2,3,2,6,55,32,20,28,21,6,14,2730,75,34471,59,284941000,263803000,1158.34,114626,86,47,100
Illinois State University,1,0,222,1,4,2,6,88,56,1,66,14,12,3,18375,65,11624,71,486735980,224309967,3368.33,85250,81,39,98
Indiana University of Pennsylvania-Main Campus,1,1,329,1,3,2,6,91,60,4,73,5,10,1,6722,56,12220,-27,183170559,98577436,947.99,106890,75,45,100
Jackson State University,1,1,363,1,3,2,4,93,63,1,2,0,95,0,4524,51,11205,39,194665211,60978291,1090.31,72102,62,80,96
James Madison University,1,1,151,1,4,2,5,72,56,1,74,8,5,5,19807,80,7144,61,443088798,155516395,3551.02,98024,92,14,58
Kean University,1,0,318,1,3,2,4,76,61,7,25,36,20,5,10118,47,6510,44,315748815,77558866,1447.66,95236,76,63,97
Kennesaw State University,1,0,373,1,5,2,-2,69,50,2,43,15,26,6,32224,52,3138,17,615701150,124042454,4139.34,87425,77,44,94
Lamar University,1,1,395,1,4,2,6,86,60,1,38,23,30,5,7016,37,11756,82,250074211,181917130,1422.66,83632,62,56,93
Louisiana Tech University,1,1,318,1,3,2,3,86,47,1,71,5,12,2,8269,64,11529,23,150942092,99176307,1164.32,82541,82,33,97
Loyola Marymount University,1,0,102,2,3,2,5,45,53,10,39,24,8,10,7327,79,77840,81,449154000,720022000,2255.67,123996,89,13,100
Marquette University,1,0,88,2,3,2,5,81,54,5,63,15,6,6,7266,83,90071,76,433067000,996999000,2278.34,100323,91,20,100
Marshall University,1,0,318,1,3,2,4,96,57,1,76,3,5,1,6914,51,22400,66,295836398,226038119,1917.32,77321,72,51,98
Mercer University,1,1,169,2,3,2,6,69,66,2,40,8,34,8,4344,70,55964,69,265908169,481905976,1743,86127,82,36,100
Miami University-Oxford,1,0,143,1,4,2,3,75,51,4,81,5,3,3,16255,80,42992,65,477227774,812500000,2937.34,97507,90,15,98
Middle Tennessee State University,1,0,257,1,4,2,4,69,53,3,64,9,13,5,14836,54,9149,71,428300087,153635992,2317.66,87588,80,41,96
Montclair State University,1,0,158,1,4,2,4,88,59,1,33,38,13,6,17195,65,2967,28,475618000,61568000,2647.99,113237,78,56,92
Morgan State University,1,1,329,1,3,2,4,82,62,7,1,5,71,0,8012,41,11647,64,351794390,106488900,2043,103891,73,64,99
North Carolina A & T State University,1,1,232,1,3,1,4,50,62,0,4,5,84,1,11650,57,15443,64,332305659,201941618,1946.34,95613,78,60,94
Northern Illinois University,1,1,301,1,3,2,4,70,53,1,43,25,21,7,10523,49,8554,18,422462162,114772816,2871.34,99800,70,60,99
Oakland University,1,0,318,1,3,2,3,88,58,2,69,5,10,7,10794,58,10940,58,325826757,151474929,1945.34,94743,78,43,96
Pepperdine University,1,0,39,2,3,2,5,63,59,8,44,19,4,15,3505,83,124238,69,469768000,1319031000,1801.66,128828,88,20,94
Portland State University,1,0,222,1,4,2,4,91,57,3,47,20,5,10,11593,53,8141,54,494552023,123171915,2499.33,107329,76,60,91
Prairie View A & M University,1,1,343,1,3,1,4,79,66,1,1,7,85,1,8572,43,16768,87,271530045,150054853,1309.67,84515,76,70,88
Rochester Institute of Technology,1,0,88,2,3,2,5,67,35,4,52,8,5,11,13185,70,97173,75,628263000,1384518000,3942,103776,89,32,99
Rowan University,1,0,169,1,4,2,4,78,49,2,60,14,12,6,13926,67,24496,8,772440744,434635893,3369.66,97749,82,37,97
Rutgers University-Camden,1,0,97,1,3,2,6,66,59,2,37,22,19,12,3653,67,17634,-36,266009322,88275358,1005,127379,80,55,95
Rutgers University-Newark,1,1,75,1,3,2,6,71,53,2,20,34,19,18,7088,64,26074,20,501904130,250906779,1752.67,148285,84,54,82
