institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Jackson State University,0,1,363,1,3,2,4,93,63,1,2,0,95,0,4524,51,11205,39,194665211,60978291,1090.31,72102,77,43,94
James Madison University,0,1,151,1,4,2,5,72,56,1,74,8,5,5,19807,80,7144,61,443088798,155516395,3551.02,98024,88,21,92
Kean University,0,0,318,1,3,2,4,76,61,7,25,36,20,5,10118,47,6510,44,315748815,77558866,1447.66,95236,93,13,67
Kennesaw State University,2,0,373,1,5,2,-2,69,50,2,43,15,26,6,32224,52,3138,17,615701150,124042454,4139.34,87425,83,23,100
Lamar University,0,1,395,1,4,2,6,86,60,1,38,23,30,5,7016,37,11756,82,250074211,181917130,1422.66,83632,98,22,68
Louisiana Tech University,1,1,318,1,3,2,3,86,47,1,71,5,12,2,8269,64,11529,23,150942092,99176307,1164.32,82541,88,20,94
Loyola Marymount University,2,0,102,2,3,2,5,45,53,10,39,24,8,10,7327,79,77840,81,449154000,720022000,2255.67,123996,94,8,45
Marquette University,2,0,88,2,3,2,5,81,54,5,63,15,6,6,7266,83,90071,76,433067000,996999000,2278.34,100323,98,20,69
Marshall University,1,0,318,1,3,2,4,96,57,1,76,3,5,1,6914,51,22400,66,295836398,226038119,1917.32,77321,76,60,91
Mercer University,1,1,169,2,3,2,6,69,66,2,40,8,34,8,4344,70,55964,69,265908169,481905976,1743,86127,76,70,88
Miami University-Oxford,2,0,143,1,4,2,3,75,51,4,81,5,3,3,16255,80,42992,65,477227774,812500000,2937.34,97507,80,43,100
Middle Tennessee State University,0,0,257,1,4,2,4,69,53,3,64,9,13,5,14836,54,9149,71,428300087,153635992,2317.66,87588,93,13,59
Montclair State University,2,0,158,1,4,2,4,88,59,1,33,38,13,6,17195,65,2967,28,475618000,61568000,2647.99,113237,83,0,90
