institution,ds_program,barron_rank,public_private,size,land_grant,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,equity_ratio,core_expenses,endowment,fte_staff
The College of Wooster,0,76,2,2,2,60,53,15,61,6,9,4,1902,74,89,81871233,437822692,516.32
The University of the South,0,45,2,2,2,57,54,4,81,6,4,1,1713,80,88,98299754,499943537,785.01
Thomas Aquinas College,1,55,2,1,2,83,50,7,62,20,0,2,541,84,87,30122135,30834386,140.66
Tougaloo College,1,180,2,2,2,60,60,0,1,2,89,0,568,33,94,31985867,28917674,199.34
Transylvania University,1,109,2,2,2,87,56,1,79,5,5,3,1006,71,84,38315322,273547275,290
Trinity College,1,37,2,2,2,29,52,13,59,9,5,4,2217,84,82,160887776,850725222,608.98
Trinity University,1,37,2,2,2,26,54,5,52,25,4,8,2504,84,88,152002623,1843412847,859.34
Union College,1,44,2,2,2,44,45,10,65,9,4,7,2080,80,77,127191247,567467656,759
University of Mary Washington,0,131,1,3,2,80,64,2,59,13,9,4,3171,66,41,86041985,89033173,733.34
University of Minnesota-Morris,1,115,1,2,2,75,54,4,51,8,3,1,982,63,88,40136087,26431352,306.67
University of New Hampshire at Manchester,0,135,1,2,2,81,47,1,75,8,3,4,452,50,-134,20181791,2191486,113.18
University of North Carolina Asheville,1,135,1,2,2,92,59,2,74,9,5,2,2708,54,46,78814457,75642604,643.67
University of Puget Sound,1,96,2,2,2,72,57,1,67,11,3,6,1653,68,88,90752000,471468000,563.65
University of Richmond,0,22,2,3,2,22,55,11,61,10,6,6,3338,85,90,315233000,3245089000,1839
Ursinus College,1,84,2,2,2,92,48,0,75,7,8,3,1493,73,76,66741772,167639430,380.33
Vassar College,1,13,2,2,2,19,63,7,55,12,4,11,2581,91,82,204376274,1300989120,1132
Virginia Military Institute,1,65,1,2,2,71,13,2,72,9,7,5,1589,76,87,75998899,787531041,644.66
Wabash College,1,50,2,2,2,63,0,5,73,12,4,2,852,77,93,53373471,428982792,298.34
Wartburg College,1,156,2,2,2,76,48,6,80,4,4,1,1418,64,66,43822164,100364486,371.66
Washington & Jefferson College,0,84,2,2,2,81,47,2,76,6,7,2,1180,70,84,45352447,170899484,331.33
Washington and Lee University,1,21,2,2,2,14,51,7,69,8,4,4,1891,94,88,181356000,2043225000,1046.32
Washington College,0,92,2,2,2,57,56,4,65,9,9,3,903,65,85,68746419,362301915,439
Wellesley College,0,7,2,2,2,14,98,14,30,15,8,23,2363,92,85,249301000,2991224000,1068.67
Wesleyan University,1,13,2,2,2,16,55,8,47,17,10,8,3188,93,78,214664000,1583306000,1097.65
Westminster College,0,164,2,2,2,79,44,2,80,5,7,0,598,55,84,25158224,80711423,188.65
Westminster College,1,121,2,2,2,93,51,0,70,4,5,1,1074,65,85,33615192,140925746,271.33
Westmont College,0,115,2,2,2,77,62,2,51,23,2,6,1345,70,77,61560677,92162206,353.66
Wheaton College,1,50,2,2,2,87,55,4,67,8,3,10,2065,85,84,127494000,610123000,748.66
Wheaton College (Massachusetts),1,76,2,2,2,68,65,4,70,7,6,4,1774,73,78,74517002,272797345,458.99
Whitman College,1,58,2,2,2,38,57,14,57,12,3,6,1558,81,86,92075678,785977679,506
Whittier College,0,92,2,2,2,81,59,13,23,48,4,5,822,60,83,52745179,139279793,303.66
Willamette University,0,76,2,2,2,77,61,3,63,14,2,4,1614,71,71,82355200,313019000,615.33
Williams College,1,1,2,2,2,8,52,9,48,13,5,14,2218,94,81,249534227,3530439948,1182.33
Wittenberg University,0,164,2,2,2,72,50,1,72,5,11,1,1273,53,73,50000083,96621956,282
Wofford College,1,67,2,2,2,52,53,2,80,5,7,2,1872,84,83,75856025,465415514,478.34
